"ID","weight_p","weight_fc","type"
"M138T511_POS",1,0.999832133336812,"feature"
"M141T555_POS",1,0.999897388472802,"feature"
"M159T555_POS",1,0.999994087029477,"feature"
"M166T66_POS",1,0.999989680798173,"feature"
"M186T511_POS",1,0.999970751283552,"feature"
"M189T555_POS",1,0.999990390459837,"feature"
"M191T555_POS",1,0.99975231768738,"feature"
"M203T555_POS",1,0.999987768588362,"feature"
"M205T511_POS",1,0.999800010363718,"feature"
"M222T511_POS",1,0.999902436839814,"feature"
"M229T555_POS",1,0.999965201690524,"feature"
"M243T253_1_POS",1,0.999726155006637,"feature"
"M243T274_POS",1,0.999669950976373,"feature"
"M259T556_POS",1,0.999985528111402,"feature"
"M276T520_2_POS",1,0.999973421233893,"feature"
"M283T547_POS",1,0.99997488405823,"feature"
"M283T565_POS",1,0.999905659379901,"feature"
"M286T556_POS",1,0.999999024402658,"feature"
"M287T555_POS",1,0.999998809105495,"feature"
"M299T476_POS",1,0.999985542465148,"feature"
"M299T535_POS",1,0.999985078180351,"feature"
"M301T566_POS",1,0.999988122752386,"feature"
"M301T546_POS",1,0.999993088970771,"feature"
"M303T555_POS",1,0.999998441961515,"feature"
"M305T434_POS",1,0.999782581577032,"feature"
"M312T163_POS",1,0.999705066186994,"feature"
"M313T163_POS",1,0.999836414226039,"feature"
"M315T561_POS",1,0.99999969746083,"feature"
"M317T560_POS",1,0.999997098777867,"feature"
"M317T476_POS",1,0.999790838465942,"feature"
"M319T548_POS",1,0.999994356264198,"feature"
"M331T480_POS",1,0.999990044326859,"feature"
"M331T510_POS",1,0.999983236733715,"feature"
"M333T509_POS",1,0.999978269943314,"feature"
"M337T560_POS",1,0.999999285360222,"feature"
"M338T562_POS",1,0.999999608480694,"feature"
"M339T560_2_POS",1,0.999994306501118,"feature"
"M340T560_POS",1,0.999994693793381,"feature"
"M345T435_POS",1,0.999944529584346,"feature"
"M353T511_POS",1,0.999996682413466,"feature"
"M361T414_POS",1,0.999997604825093,"feature"
"M362T413_POS",1,0.99999717918043,"feature"
"M363T416_POS",1,0.999902337150143,"feature"
"M363T401_POS",1,0.999759262876127,"feature"
"M364T415_POS",1,0.99989111124636,"feature"
"M365T416_POS",1,0.999843002536625,"feature"
"M365T399_POS",1,0.999908884117037,"feature"
"M379T385_POS",1,0.999714854308177,"feature"
"M383T414_POS",1,0.999996166043997,"feature"
"M384T413_POS",1,0.999995689296545,"feature"
"M385T415_2_POS",1,0.999803391309856,"feature"
"M385T565_POS",1,0.999778972544576,"feature"
"M386T415_POS",1,0.999830895504025,"feature"
"M387T415_POS",1,0.99989363007155,"feature"
"M387T399_POS",1,0.999847997665954,"feature"
"M395T516_POS",1,0.999799564851247,"feature"
"M413T561_POS",1,0.999875814414773,"feature"
"M414T562_1_POS",1,0.999698224107066,"feature"
"M415T653_POS",1,0.999999141711833,"feature"
"M417T488_POS",1,0.999985821825238,"feature"
"M429T490_POS",1,0.999732440664513,"feature"
"M441T622_POS",1,0.999795518145013,"feature"
"M465T448_POS",1,0.999994235924719,"feature"
"M477T549_POS",1,0.999768213845347,"feature"
"M480T609_POS",1,0.999797603150264,"feature"
"M481T609_POS",1,0.999789259328553,"feature"
"M487T321_POS",1,0.999973874612416,"feature"
"M487T401_POS",1,0.999951273614121,"feature"
"M499T420_POS",1,0.99975014584362,"feature"
"M503T565_POS",1,0.999669834271072,"feature"
"M503T467_POS",1,0.999980099686711,"feature"
"M505T480_POS",1,0.99992667405956,"feature"
"M511T328_2_POS",1,0.999992668839737,"feature"
"M512T520_POS",1,0.999990648948091,"feature"
"M512T547_POS",1,0.999956372911478,"feature"
"M513T520_POS",1,0.999991122761372,"feature"
"M514T555_1_POS",1,0.999985969153718,"feature"
"M514T521_POS",1,0.99996436537798,"feature"
"M515T555_2_POS",1,0.9999781194052,"feature"
"M517T565_POS",1,0.999997588485805,"feature"
"M517T547_POS",1,0.999999278481792,"feature"
"M518T547_POS",1,0.999997911586337,"feature"
"M519T556_POS",1,0.999998869740681,"feature"
"M521T581_2_POS",1,0.999714619479993,"feature"
"M522T555_POS",1,0.999981192065085,"feature"
"M522T581_POS",1,0.9996587380721,"feature"
"M523T581_POS",1,0.999690590105607,"feature"
"M533T535_POS",1,0.999987395526875,"feature"
"M533T476_POS",1,0.999810385678655,"feature"
"M534T535_POS",1,0.99998646822218,"feature"
"M535T634_POS",1,0.999791778450976,"feature"
"M535T538_POS",1,0.999920668855788,"feature"
"M535T520_POS",1,0.999988290824387,"feature"
"M536T539_POS",1,0.999903180637518,"feature"
"M541T555_POS",1,0.999997400247645,"feature"
"M541T564_POS",1,0.999975477926979,"feature"
"M557T555_POS",1,0.999815979013489,"feature"
"M562T565_POS",1,0.999984801157092,"feature"
"M565T548_POS",1,0.99993048369414,"feature"
"M568T555_POS",1,0.999949080682761,"feature"
"M579T555_POS",1,0.99999850162984,"feature"
"M580T555_POS",1,0.99999512057293,"feature"
"M595T556_POS",1,0.999996324626867,"feature"
"M596T555_POS",1,0.999996379741247,"feature"
"M597T548_POS",1,0.999998059800094,"feature"
"M599T555_2_POS",1,0.999980864271937,"feature"
"M600T555_POS",1,0.999850904049939,"feature"
"M611T538_POS",1,0.999936514734196,"feature"
"M613T555_POS",1,0.999993039151356,"feature"
"M627T555_POS",1,0.999952761133323,"feature"
"M635T568_POS",1,0.999902622500862,"feature"
"M638T566_POS",1,0.999785931998166,"feature"
"M655T555_POS",1,0.999992793331599,"feature"
"M683T263_2_POS",1,0.999996028631716,"feature"
"M701T511_POS",1,0.999939938257274,"feature"
"M213T541_NEG",1,0.999791030992406,"feature"
"M260T587_NEG",1,0.999973220206271,"feature"
"M301T417_NEG",1,0.999825825489888,"feature"
"M329T416_2_NEG",1,0.999970154233719,"feature"
"M330T416_2_NEG",1,0.99996611329694,"feature"
"M349T511_NEG",1,0.99998106295952,"feature"
"M350T511_NEG",1,0.999976221390242,"feature"
"M351T511_NEG",1,0.999905025997307,"feature"
"M351T505_NEG",1,0.999908979694654,"feature"
"M359T416_NEG",1,0.999981683945335,"feature"
"M360T416_NEG",1,0.999950028693491,"feature"
"M361T418_NEG",1,0.999705331187935,"feature"
"M365T412_NEG",1,0.999994695535207,"feature"
"M366T413_NEG",1,0.999822008309246,"feature"
"M367T389_NEG",1,0.999998906535706,"feature"
"M368T389_NEG",1,0.999984403188014,"feature"
"M381T323_NEG",1,0.999876548472796,"feature"
"M389T416_NEG",1,0.999977648778763,"feature"
"M397T569_NEG",1,0.999985364584314,"feature"
"M398T650_NEG",1,0.999997603938043,"feature"
"M399T402_NEG",1,0.999991640791151,"feature"
"M399T343_NEG",1,0.999846629230413,"feature"
"M399T588_NEG",1,0.999809971698849,"feature"
"M400T402_NEG",1,0.999789127999135,"feature"
"M400T656_NEG",1,0.999815285125098,"feature"
"M401T474_NEG",1,0.999996476499696,"feature"
"M403T438_NEG",1,0.999786237815003,"feature"
"M409T487_NEG",1,0.999875041043702,"feature"
"M411T578_NEG",1,0.999961803826952,"feature"
"M413T581_NEG",1,0.999810200012792,"feature"
"M413T555_NEG",1,0.999713305706023,"feature"
"M413T658_NEG",1,0.999999325554586,"feature"
"M415T581_NEG",1,0.999897939472089,"feature"
"M415T552_NEG",1,0.999925215572861,"feature"
"M416T578_NEG",1,0.999932687022891,"feature"
"M416T504_NEG",1,0.999838799879698,"feature"
"M423T401_NEG",1,0.999747179073072,"feature"
"M427T544_NEG",1,0.999868488998,"feature"
"M429T449_NEG",1,0.999672597673702,"feature"
"M431T511_NEG",1,0.999862542892917,"feature"
"M437T281_NEG",1,0.999922639477638,"feature"
"M437T388_NEG",1,0.999978883633737,"feature"
"M441T501_NEG",1,0.999863272175688,"feature"
"M461T343_NEG",1,0.999792425108297,"feature"
"M463T319_NEG",1,0.99999515987642,"feature"
"M463T399_NEG",1,0.99999685787751,"feature"
"M464T319_NEG",1,0.999936322257533,"feature"
"M464T399_NEG",1,0.999945678795805,"feature"
"M493T568_NEG",1,0.999994047715564,"feature"
"M493T549_NEG",1,0.999998604769347,"feature"
"M494T567_NEG",1,0.999985324405228,"feature"
"M494T549_NEG",1,0.999998283718871,"feature"
"M497T579_NEG",1,0.999865584992288,"feature"
"M509T477_NEG",1,0.999996279157332,"feature"
"M509T536_NEG",1,0.999926079019626,"feature"
"M510T536_NEG",1,0.999949914713271,"feature"
"M510T476_NEG",1,0.999984403200363,"feature"
"M511T469_NEG",1,0.999988259874764,"feature"
"M511T506_NEG",1,0.999962875916021,"feature"
"M512T469_NEG",1,0.999854113793189,"feature"
"M527T515_NEG",1,0.999969414285003,"feature"
"M570T526_NEG",1,0.999973465675693,"feature"
"M591T536_NEG",1,0.99992421124944,"feature"
"M602T572_NEG",1,0.999880644564195,"feature"
"M659T558_NEG",1,0.999992825744265,"feature"
"M742T557_NEG",1,0.999918731253137,"feature"
"M823T557_NEG",1,0.999964588398222,"feature"
